ticker,company,revenue_driver,asia_candidate,verdict,evidence
1605,INPEX,原油・ガス価格と為替（IR開示の感応度）,—,NO_ASIA_ROUTE,価格は24h取引で寄り付きに織込済。アジア市場に固有経路なし。IR未読=要検証
5019,出光興産,石油製品クラック＋在庫評価（IR）,—,NO_ASIA_ROUTE,同上。在庫評価は四半期要因で日次でない
5020,ENEOS,製品クラック＋金属事業,000300.SS,WEAK,銅事業経由で中国需要。ただし間接的。要IR確認
5021,コスモエネルギー,Dubai原油・製品クラック・再エネ,—,NO_ASIA_ROUTE,同上
7201,日産,米国販売＋ルノー連合,—,NO_ASIA_ROUTE,米国・欧州とも05:00までに確定
7203,トヨタ,全世界販売。中国は主要市場の一つ,"^HSI, 000300.SS",CANDIDATE,中国販売比率の確認が必要。香港/上海は東証ザラ場中に動く
7267,ホンダ,米国四輪＋二輪（アジア比率高い）,"^HSI, ^NSEI",CANDIDATE,二輪はインド・ASEANが主力。IRで比率確認要
7269,スズキ,インド(マルチ)が成長の中核。売上6.29兆円+8.0%はインド牽引,"MARUTI.NS, ^NSEI",STRONG CANDIDATE,マルチは12:30-22:00 JST。東証引け後6.5hの動きは日本市場未反映
7270,SUBARU,米国販売が大半,—,NO_ASIA_ROUTE,米国05:00確定で織込済
8001,伊藤忠,非資源・生活消費。CITIC(中国)出資,"^HSI, 000300.SS",CANDIDATE,CITICは香港上場。要IR確認
8002,丸紅,穀物・電力・銅・エネルギー,000300.SS,WEAK,資源経由の間接的な中国需要
8031,三井物産,鉄鉱石・原料炭・LNG・銅（IR感応度開示あり）,"^HSI, 000300.SS",CANDIDATE,鉄鉱石需要は中国。ただし価格自体は24h
8053,住友商事,銅・ニッケル・電力・インフラ,000300.SS,WEAK,同上
8058,三菱商事,原料炭・LNG・銅,"^HSI, 000300.SS",CANDIDATE,同上。要セグメント利益比率確認
8306,MUFG,円金利上昇による純金利収益。FY3/26純利益2.43兆円(+30.3%),—,NO_ASIA_ROUTE,円金利は測定済みで棄却(Rank IC -0.0203 p=0.017)
8316,SMFG,同上。1.58兆円(+34.4%),—,NO_ASIA_ROUTE,同上
8411,みずほ,同上。1.25兆円(+41.0%),—,NO_ASIA_ROUTE,同上
8604,野村,市況・出来高・M&A,^HSI,WEAK,アジア市況との連動。要検証
8766,東京海上,海外損保・金利・災害,—,NO_ASIA_ROUTE,災害はイベントで日次系列にならない
9101,日本郵船,コンテナ(ONE)運賃下落で経常-500億。自動車輸送は堅調,^HSI,WEAK,運賃指数は週次。香港経由は間接的
9104,商船三井,純利益-58%。運賃下落。LNG船・タンカー,^HSI,WEAK,同上
9107,川崎汽船,経常-200億。自動車船。自動車輸送の寄与は言及なし,^HSI,WEAK,同上
